Day,I_p,I_n
2018-07-25,-0.27393564704229323,0.27393564704229323
2018-07-26,-0.26634818041309527,0.26634818041309527
2018-07-27,-0.2598847829141492,0.2598847829141492
2018-07-28,-0.25173528171982584,0.25173528171982584
2018-07-29,-0.24386679780806517,0.24386679780806517
2018-07-30,-0.2379654348742448,0.2379654348742448
2018-07-31,-0.23318814107067584,0.23318814107067584
2018-08-01,-0.23009695096248414,0.23009695096248414
2018-08-02,-0.22728677813685524,0.22728677813685524
2018-08-03,-0.235155262048616,0.235155262048616
2018-08-04,-0.23965153856962204,0.23965153856962204
2018-08-05,-0.24864409161163423,0.24864409161163423
2018-08-06,-0.2567935928059576,0.2567935928059576
2018-08-07,-0.2669102149782211,0.2669102149782211
2018-08-08,-0.2770268371504848,0.2770268371504848
2018-08-09,-0.28742447660531123,0.28742447660531123
2018-08-10,-0.2961360123647604,0.2961360123647604
2018-08-11,-0.3065336518195869,0.3065336518195869
2018-08-12,-0.31721230855697624,0.31721230855697624
2018-08-13,-0.3290150344246172,0.3290150344246172
2018-08-14,-0.34334691583532395,0.34334691583532395
2018-08-15,-0.3540255725727133,0.3540255725727133
2018-08-16,-0.3655472811577912,0.3655472811577912
2018-08-17,-0.375101868764929,0.375101868764929
2018-08-18,-0.38606154278488125,0.38606154278488125
2018-08-19,-0.3899957847407616,0.3899957847407616
2018-08-20,-0.3950540958268933,0.3950540958268933
2018-08-21,-0.4009554587607138,0.4009554587607138
2018-08-22,-0.4062947871294085,0.4062947871294085
2018-08-23,-0.4124771673457919,0.4124771673457919
2018-08-24,-0.4161303920191093,0.4161303920191093
2018-08-25,-0.41865954756217505,0.41865954756217505
2018-08-26,-0.4237178586483069,0.4237178586483069
2018-08-27,-0.4273710833216242,0.4273710833216242
2018-08-28,-0.43102430799494185,0.43102430799494185
2018-08-29,-0.437206688211325,0.437206688211325
2018-08-30,-0.4394548264718281,0.4394548264718281
2018-08-31,-0.4419839820148941,0.4419839820148941
2018-09-01,-0.4436700857102712,0.4436700857102712
2018-09-02,-0.4456372066882114,0.4456372066882114
2018-09-03,-0.4467612758184629,0.4467612758184629
2018-09-04,-0.44479415484052276,0.44479415484052276
2018-09-05,-0.4461992412533371,0.4461992412533371
2018-09-06,-0.4467612758184629,0.4467612758184629
2018-09-07,-0.4526626387522834,0.4526626387522834
2018-09-08,-0.45462975973022346,0.45462975973022346
2018-09-09,-0.45772094983841516,0.45772094983841516
2018-09-10,-0.46109315722916966,0.46109315722916966
2018-09-11,-0.46727553744555295,0.46727553744555295
2018-09-12,-0.47486300407475057,0.47486300407475057
2018-09-13,-0.4765491077701278,0.4765491077701278
2018-09-14,-0.4818884361388226,0.4818884361388226
2018-09-15,-0.4858226780947028,0.4858226780947028
2018-09-16,-0.4891948854854574,0.4891948854854574
2018-09-17,-0.49312912744133763,0.49312912744133763
2018-09-18,-0.49397217928902637,0.49397217928902637
2018-09-19,-0.4914430237459604,0.4914430237459604
2018-09-20,-0.49003793733314605,0.49003793733314605
2018-09-21,-0.48666572994239155,0.48666572994239155
2018-09-22,-0.4816074188562598,0.4816074188562598
2018-09-23,-0.4782352114655052,0.4782352114655052
2018-09-24,-0.4723338485316848,0.4723338485316848
2018-09-25,-0.4683996065758045,0.4683996065758045
2018-09-26,-0.4655894337501758,0.4655894337501758
2018-09-27,-0.4627792609245469,0.4627792609245469
2018-09-28,-0.46053112266404395,0.46053112266404395
2018-09-29,-0.46053112266404395,0.46053112266404395
2018-09-30,-0.4588450189686666,0.4588450189686666
2018-10-01,-0.45378670788253483,0.45378670788253483
2018-10-02,-0.4487283967964031,0.4487283967964031
2018-10-03,-0.4431080511451455,0.4431080511451455
2018-10-04,-0.44085991288464244,0.44085991288464244
2018-10-05,-0.4355205845159478,0.4355205845159478
2018-10-06,-0.43158634256006745,0.43158634256006745
2018-10-07,-0.42793311788675015,0.42793311788675015
2018-10-08,-0.4268090487564986,0.4268090487564986
2018-10-09,-0.4256849796262471,0.4256849796262471
2018-10-10,-0.42540396234368427,0.42540396234368427
2018-10-11,-0.4287761697344388,0.4287761697344388
2018-10-12,-0.43439651538569624,0.43439651538569624
2018-10-13,-0.4405788956020795,0.4405788956020795
2018-10-14,-0.44507517212308567,0.44507517212308567
2018-10-15,-0.449009414078966,0.449009414078966
2018-10-16,-0.4529436560348461,0.4529436560348461
2018-10-17,-0.45743993255585225,0.45743993255585225
2018-10-18,-0.46053112266404395,0.46053112266404395
2018-10-19,-0.4619362090768582,0.4619362090768582
2018-10-20,-0.4653084164676128,0.4653084164676128
2018-10-21,-0.46755655472811586,0.46755655472811586
2018-10-22,-0.46811858929324157,0.46811858929324157
2018-10-23,-0.47036672755374465,0.47036672755374465
2018-10-24,-0.47401995222706206,0.47401995222706206
2018-10-25,-0.47795419418294227,0.47795419418294227
2018-10-26,-0.4816074188562598,0.4816074188562598
2018-10-27,-0.4846986089644514,0.4846986089644514
2018-10-28,-0.4880708163552059,0.4880708163552059
2018-10-29,-0.49059997189827176,0.49059997189827176
2018-10-30,-0.494815231136715,0.494815231136715
2018-10-31,-0.4981874385274696,0.4981874385274696
2018-11-01,-0.5038077841787271,0.5038077841787271
2018-11-02,-0.5088660952648589,0.5088660952648589
2018-11-03,-0.5136433890684278,0.5136433890684278
2018-11-04,-0.515329492763805,0.515329492763805
2018-11-05,-0.5187017001545595,0.5187017001545595
2018-11-06,-0.522073907545314,0.522073907545314
2018-11-07,-0.5234789939581285,0.5234789939581285
2018-11-08,-0.5226359421104398,0.5226359421104398
