Day,Market_Mood
2018-07-25,-0.4739356470422932
2018-07-26,-0.46634818041309534
2018-07-27,-0.45988478291414925
2018-07-28,-0.4517352817198258
2018-07-29,-0.44386679780806526
2018-07-30,-0.4379654348742448
2018-07-31,-0.4331881410706758
2018-08-01,-0.4300969509624841
2018-08-02,-0.42728677813685534
2018-08-03,-0.435155262048616
2018-08-04,-0.43965153856962214
2018-08-05,-0.4486440916116342
2018-08-06,-0.45679359280595766
2018-08-07,-0.46691021497822116
2018-08-08,-0.4770268371504848
2018-08-09,-0.4874244766053112
2018-08-10,-0.49613601236476046
2018-08-11,-0.5065336518195869
2018-08-12,-0.5172123085569762
2018-08-13,-0.5290150344246172
2018-08-14,-0.5433469158353239
2018-08-15,-0.5540255725727132
2018-08-16,-0.5655472811577912
2018-08-17,-0.575101868764929
2018-08-18,-0.5860615427848812
2018-08-19,-0.5899957847407615
2018-08-20,-0.5950540958268933
2018-08-21,-0.6009554587607138
2018-08-22,-0.6062947871294084
2018-08-23,-0.6124771673457918
2018-08-24,-0.6161303920191092
2018-08-25,-0.618659547562175
2018-08-26,-0.6237178586483069
2018-08-27,-0.6273710833216242
2018-08-28,-0.6310243079949418
2018-08-29,-0.637206688211325
2018-08-30,-0.639454826471828
2018-08-31,-0.641983982014894
2018-09-01,-0.6436700857102712
2018-09-02,-0.6456372066882113
2018-09-03,-0.6467612758184629
2018-09-04,-0.6447941548405227
2018-09-05,-0.646199241253337
2018-09-06,-0.6467612758184629
2018-09-07,-0.6526626387522834
2018-09-08,-0.6546297597302234
2018-09-09,-0.6577209498384151
2018-09-10,-0.6610931572291696
2018-09-11,-0.6672755374455529
2018-09-12,-0.6748630040747505
2018-09-13,-0.6765491077701278
2018-09-14,-0.6818884361388226
2018-09-15,-0.6858226780947028
2018-09-16,-0.6891948854854574
2018-09-17,-0.6931291274413376
2018-09-18,-0.6939721792890263
2018-09-19,-0.6914430237459603
2018-09-20,-0.690037937333146
2018-09-21,-0.6866657299423915
2018-09-22,-0.6816074188562598
2018-09-23,-0.6782352114655051
2018-09-24,-0.6723338485316848
2018-09-25,-0.6683996065758044
2018-09-26,-0.6655894337501758
2018-09-27,-0.6627792609245469
2018-09-28,-0.6605311226640439
2018-09-29,-0.6605311226640439
2018-09-30,-0.6588450189686665
2018-10-01,-0.6537867078825348
2018-10-02,-0.648728396796403
2018-10-03,-0.6431080511451455
2018-10-04,-0.6408599128846424
2018-10-05,-0.6355205845159477
2018-10-06,-0.6315863425600674
2018-10-07,-0.6279331178867501
2018-10-08,-0.6268090487564986
2018-10-09,-0.625684979626247
2018-10-10,-0.6254039623436842
2018-10-11,-0.6287761697344387
2018-10-12,-0.6343965153856962
2018-10-13,-0.6405788956020795
2018-10-14,-0.6450751721230856
2018-10-15,-0.649009414078966
2018-10-16,-0.652943656034846
2018-10-17,-0.6574399325558522
2018-10-18,-0.6605311226640439
2018-10-19,-0.6619362090768581
2018-10-20,-0.6653084164676127
2018-10-21,-0.6675565547281158
2018-10-22,-0.6681185892932415
2018-10-23,-0.6703667275537446
2018-10-24,-0.674019952227062
2018-10-25,-0.6779541941829422
2018-10-26,-0.6816074188562598
2018-10-27,-0.6846986089644513
2018-10-28,-0.6880708163552058
2018-10-29,-0.6905999718982717
2018-10-30,-0.694815231136715
2018-10-31,-0.6981874385274696
2018-11-01,-0.703807784178727
2018-11-02,-0.7088660952648589
2018-11-03,-0.7136433890684277
2018-11-04,-0.715329492763805
2018-11-05,-0.7187017001545595
2018-11-06,-0.722073907545314
2018-11-07,-0.7234789939581284
2018-11-08,-0.7226359421104398
2018-11-09,-0.7203878038499367
2018-11-10,-0.7167345791766194
2018-11-11,-0.7116762680904876
2018-11-12,-0.7057749051566672
2018-11-13,-0.6965013348320921
2018-11-14,-0.6897569200505831
2018-11-15,-0.6889138682028945
2018-11-16,-0.6889138682028945
2018-11-17,-0.68750878179008
2018-11-18,-0.6861036953772657
2018-11-19,-0.683293522551637
2018-11-20,-0.6824504707039483
2018-11-21,-0.6841365743993256
2018-11-22,-0.6846986089644513
2018-11-23,-0.6863847126598286
2018-11-24,-0.6880708163552058
2018-11-25,-0.6908809891808346
2018-11-26,-0.6928481101587748
2018-11-27,-0.6973443866797808
2018-11-28,-0.7007165940705353
2018-11-29,-0.7009976113530982
2018-11-30,-0.701559645918224
2018-12-01,-0.7029647323310384
2018-12-02,-0.7040888014612898
2018-12-03,-0.7054938878741043
2018-12-04,-0.7074610088520443
2018-12-05,-0.7071799915694814
2018-12-06,-0.7088660952648589
2018-12-07,-0.7111142335253617
2018-12-08,-0.7142054236335534
2018-12-09,-0.7150484754812421
2018-12-10,-0.7156105100463679
2018-12-11,-0.7164535618940565
2018-12-12,-0.717858648306871
2018-12-13,-0.7212308556976254
2018-12-14,-0.7231979766755655
2018-12-15,-0.7240410285232541
2018-12-16,-0.7251650976535057
2018-12-17,-0.7254461149360686
2018-12-18,-0.7226359421104398
2018-12-19,-0.7209498384150625
2018-12-20,-0.7184206828719967
2018-12-21,-0.7125193199381762
2018-12-22,-0.7102711816776732
2018-12-23,-0.7080230434171702
2018-12-24,-0.7077420261346073
2018-12-25,-0.7063369397217929
2018-12-26,-0.70605592243923
2018-12-27,-0.703807784178727
2018-12-28,-0.7046508360264157
2018-12-29,-0.7046508360264157
2018-12-30,-0.7068989742869187
2018-12-31,-0.7094281298299845
2019-01-01,-0.7133623717858648
2019-01-02,-0.7170155964591822
2019-01-03,-0.7181396655894337
2019-01-04,-0.7150484754812421
2019-01-05,-0.7167345791766194
