,Day,sigma_p,sigma_n
146,2018-12-18,-1.0,-1.0
147,2018-12-19,-1.0,-1.0
148,2018-12-20,-1.0,-1.0
149,2018-12-21,-1.0,-1.0
150,2018-12-22,-1.0,-1.0
151,2018-12-23,-1.0,-1.0
152,2018-12-24,-1.0,-1.0
153,2018-12-25,-1.0,-1.0
154,2018-12-26,-1.0,-1.0
155,2018-12-27,-1.0,-1.0
156,2018-12-28,-1.0,-1.0
157,2018-12-29,-1.0,-1.0
158,2018-12-30,-1.0,-1.0
159,2018-12-31,-1.0,-1.0
160,2019-01-01,-1.0,-1.0
161,2019-01-02,-1.0,-1.0
162,2019-01-03,-1.0,-1.0
163,2019-01-04,-1.0,-1.0
164,2019-01-05,-1.0,-1.0
165,2019-01-06,-1.0,-1.0
166,2019-01-07,-1.0,-1.0
167,2019-01-08,-1.0,-1.0
168,2019-01-09,-1.0,-1.0
169,2019-01-10,-1.0,-1.0
170,2019-01-11,-1.0,-1.0
171,2019-01-12,-1.0,-1.0
172,2019-01-13,-1.0,-1.0
173,2019-01-14,-1.0,-1.0
174,2019-01-15,-1.0,-1.0
175,2019-01-16,-1.0,-1.0
176,2019-01-17,-1.0,-1.0
177,2019-01-18,-1.0,-1.0
178,2019-01-19,-1.0,-1.0
179,2019-01-20,-1.0,-1.0
180,2019-01-21,-1.0,-1.0
181,2019-01-22,-1.0,-1.0
182,2019-01-23,-1.0,-1.0
183,2019-01-24,-1.0,-1.0
184,2019-01-25,-1.0,-1.0
185,2019-01-26,-1.0,-1.0
186,2019-01-27,-1.0,-1.0
187,2019-01-28,-1.0,-1.0
188,2019-01-29,-1.0,-1.0
189,2019-01-30,-1.0,-1.0
190,2019-01-31,-1.0,-1.0
191,2019-02-01,-1.0,-1.0
192,2019-02-02,-1.0,-1.0
193,2019-02-03,-1.0,-1.0
194,2019-02-04,-1.0,-1.0
195,2019-02-05,-1.0,-1.0
196,2019-02-06,-1.0,-1.0
197,2019-02-07,-1.0,-1.0
198,2019-02-08,-1.0,-1.0
199,2019-02-09,-1.0,-1.0
200,2019-02-10,-1.0,-1.0
201,2019-02-11,-1.0,-1.0
202,2019-02-12,-1.0,-1.0
203,2019-02-13,-1.0,-1.0
204,2019-02-14,-1.0,-1.0
205,2019-02-15,-1.0,-1.0
206,2019-02-16,-1.0,-1.0
207,2019-02-17,-1.0,-1.0
208,2019-02-18,-1.0,-1.0
209,2019-02-19,-1.0,-1.0
210,2019-02-20,-1.0,-1.0
211,2019-02-21,-1.0,-1.0
212,2019-02-22,-1.0,-1.0
213,2019-02-23,-1.0,-1.0
214,2019-02-24,-1.0,-1.0
215,2019-02-25,-1.0,-1.0
216,2019-02-26,-1.0,-1.0
217,2019-02-27,-1.0,-1.0
218,2019-02-28,-1.0,-1.0
219,2019-03-01,-1.0,-1.0
220,2019-03-02,-1.0,-1.0
221,2019-03-03,-1.0,-1.0
222,2019-03-04,-1.0,-1.0
223,2019-03-05,-1.0,-1.0
224,2019-03-06,-1.0,-1.0
225,2019-03-07,-1.0,-1.0
226,2019-03-08,-1.0,-1.0
227,2019-03-09,-1.0,-1.0
228,2019-03-10,-1.0,-1.0
229,2019-03-11,-1.0,-1.0
230,2019-03-12,-1.0,-1.0
231,2019-03-13,-1.0,-1.0
232,2019-03-14,-1.0,-1.0
233,2019-03-15,-1.0,-1.0
234,2019-03-16,-1.0,-1.0
235,2019-03-17,-1.0,-1.0
236,2019-03-18,-1.0,-1.0
237,2019-03-19,-1.0,-1.0
238,2019-03-20,-1.0,-1.0
239,2019-03-21,-1.0,-1.0
240,2019-03-22,-1.0,-1.0
241,2019-03-23,-1.0,-1.0
242,2019-03-24,-1.0,-1.0
243,2019-03-25,-1.0,-1.0
244,2019-03-26,-1.0,-1.0
245,2019-03-27,-1.0,-1.0
246,2019-03-28,-1.0,-1.0
247,2019-03-29,-1.0,-1.0
248,2019-03-30,-1.0,-1.0
249,2019-03-31,-1.0,-1.0
250,2019-04-01,-1.0,-1.0
251,2019-04-02,-1.0,-1.0
252,2019-04-03,-1.0,-1.0
253,2019-04-04,-1.0,-1.0
254,2019-04-05,-1.0,-1.0
255,2019-04-06,-1.0,-1.0
256,2019-04-07,-1.0,-1.0
257,2019-04-08,-1.0,-1.0
258,2019-04-09,-1.0,-1.0
259,2019-04-10,-1.0,-1.0
260,2019-04-11,-1.0,-1.0
261,2019-04-12,-1.0,-1.0
262,2019-04-13,-1.0,-1.0
263,2019-04-14,-1.0,-1.0
264,2019-04-15,-1.0,-1.0
265,2019-04-16,-1.0,-1.0
266,2019-04-17,-1.0,-1.0
267,2019-04-18,-1.0,-1.0
268,2019-04-19,-1.0,-1.0
269,2019-04-20,-1.0,-1.0
270,2019-04-21,-1.0,-1.0
271,2019-04-22,-1.0,-1.0
272,2019-04-23,-1.0,-1.0
273,2019-04-24,-1.0,-1.0
274,2019-04-25,-1.0,-1.0
275,2019-04-26,-1.0,-1.0
276,2019-04-27,-1.0,-1.0
277,2019-04-28,-1.0,-1.0
278,2019-04-29,-1.0,-1.0
279,2019-04-30,-1.0,-1.0
280,2019-05-01,-1.0,-1.0
281,2019-05-02,-1.0,-1.0
282,2019-05-03,-1.0,-1.0
283,2019-05-04,-1.0,-1.0
284,2019-05-05,-1.0,-1.0
285,2019-05-06,-1.0,-1.0
286,2019-05-07,-1.0,-1.0
287,2019-05-08,-1.0,-1.0
288,2019-05-09,-1.0,-1.0
289,2019-05-10,-1.0,-1.0
290,2019-05-11,-1.0,-1.0
291,2019-05-12,-1.0,-1.0
292,2019-05-13,-1.0,-1.0
293,2019-05-14,-1.0,-1.0
294,2019-05-15,-1.0,-1.0
295,2019-05-16,-1.0,-1.0
296,2019-05-17,-1.0,-1.0
297,2019-05-18,-1.0,-1.0
298,2019-05-19,-1.0,-1.0
299,2019-05-20,-1.0,-1.0
300,2019-05-21,-1.0,-1.0
301,2019-05-22,-1.0,-1.0
302,2019-05-23,-1.0,-1.0
303,2019-05-24,-1.0,-1.0
304,2019-05-25,-1.0,-1.0
305,2019-05-26,-1.0,-1.0
306,2019-05-27,-1.0,-1.0
307,2019-05-28,-1.0,-1.0
308,2019-05-29,-1.0,-1.0
309,2019-05-30,-1.0,-1.0
310,2019-05-31,-1.0,-1.0
311,2019-06-01,-1.0,-1.0
312,2019-06-02,-1.0,-1.0
313,2019-06-03,-1.0,-1.0
314,2019-06-04,-1.0,-1.0
315,2019-06-05,-1.0,-1.0
316,2019-06-06,-1.0,-1.0
317,2019-06-07,-1.0,-1.0
318,2019-06-08,-1.0,-1.0
319,2019-06-09,-1.0,-1.0
320,2019-06-10,-1.0,-1.0
321,2019-06-11,-1.0,-1.0
322,2019-06-12,-1.0,-1.0
323,2019-06-13,-1.0,-1.0
324,2019-06-14,-1.0,-1.0
325,2019-06-15,-1.0,-1.0
326,2019-06-16,-1.0,-1.0
327,2019-06-17,-1.0,-1.0
328,2019-06-18,-1.0,-1.0
329,2019-06-19,-1.0,-1.0
330,2019-06-20,-1.0,-1.0
331,2019-06-21,-1.0,-1.0
332,2019-06-22,-1.0,-1.0
333,2019-06-23,-1.0,-1.0
334,2019-06-24,-1.0,-1.0
335,2019-06-25,-1.0,-1.0
336,2019-06-26,-1.0,-1.0
337,2019-06-27,-1.0,-1.0
338,2019-06-28,-1.0,-1.0
339,2019-06-29,-1.0,-1.0
340,2019-06-30,-1.0,-1.0
341,2019-07-01,-1.0,-1.0
342,2019-07-02,-1.0,-1.0
343,2019-07-03,-1.0,-1.0
344,2019-07-04,-1.0,-1.0
345,2019-07-05,-1.0,-1.0
346,2019-07-06,-1.0,-1.0
347,2019-07-07,-1.0,-1.0
348,2019-07-08,-1.0,-1.0
349,2019-07-09,-1.0,-1.0
350,2019-07-10,-1.0,-1.0
351,2019-07-11,-1.0,-1.0
352,2019-07-12,-1.0,-1.0
353,2019-07-13,-1.0,-1.0
354,2019-07-14,-1.0,-1.0
355,2019-07-15,-1.0,-1.0
356,2019-07-16,-1.0,-1.0
357,2019-07-17,-1.0,-1.0
358,2019-07-18,-1.0,-1.0
359,2019-07-19,-1.0,-1.0
360,2019-07-20,-1.0,-1.0
361,2019-07-21,-1.0,-1.0
362,2019-07-22,-1.0,-1.0
363,2019-07-23,-1.0,-1.0
364,2019-07-24,-1.0,-1.0
365,2019-07-25,-1.0,-1.0
366,2019-07-26,-1.0,-1.0
367,2019-07-27,-1.0,-1.0
368,2019-07-28,-1.0,-1.0
369,2019-07-29,-1.0,-1.0
370,2019-07-30,-1.0,-1.0
371,2019-07-31,-1.0,-1.0
372,2019-08-01,-1.0,-1.0
373,2019-08-02,-1.0,-1.0
374,2019-08-03,-1.0,-1.0
375,2019-08-04,-1.0,-1.0
376,2019-08-05,-1.0,-1.0
377,2019-08-06,-1.0,-1.0
378,2019-08-07,-1.0,-1.0
379,2019-08-08,-1.0,-1.0
380,2019-08-09,-1.0,-1.0
381,2019-08-10,-1.0,-1.0
382,2019-08-11,-1.0,-1.0
383,2019-08-12,-1.0,-1.0
384,2019-08-13,-1.0,-1.0
385,2019-08-14,-1.0,-1.0
386,2019-08-15,-1.0,-1.0
387,2019-08-16,-1.0,-1.0
388,2019-08-17,-1.0,-1.0
389,2019-08-18,-1.0,-1.0
390,2019-08-19,-1.0,-1.0
391,2019-08-20,-1.0,-1.0
392,2019-08-21,-1.0,-1.0
393,2019-08-22,-1.0,-1.0
394,2019-08-23,-1.0,-1.0
395,2019-08-24,-1.0,-1.0
396,2019-08-25,-1.0,-1.0
397,2019-08-26,-1.0,-1.0
398,2019-08-27,-1.0,-1.0
399,2019-08-28,-1.0,-1.0
400,2019-08-29,-1.0,-1.0
401,2019-08-30,-1.0,-1.0
402,2019-08-31,-1.0,-1.0
403,2019-09-01,-1.0,-1.0
404,2019-09-02,-1.0,-1.0
405,2019-09-03,-1.0,-1.0
406,2019-09-04,-1.0,-1.0
407,2019-09-05,-1.0,-1.0
408,2019-09-06,-1.0,-1.0
409,2019-09-07,-1.0,-1.0
410,2019-09-08,-1.0,-1.0
411,2019-09-09,-1.0,-1.0
412,2019-09-10,-1.0,-1.0
413,2019-09-11,-1.0,-1.0
414,2019-09-12,-1.0,-1.0
415,2019-09-13,-1.0,-1.0
416,2019-09-14,-1.0,-1.0
417,2019-09-15,-1.0,-1.0
418,2019-09-16,-1.0,-1.0
419,2019-09-17,-1.0,-1.0
420,2019-09-18,-1.0,-1.0
