Day,alpha_p,alpha_n
2018-07-25,0.9,0.9
2018-07-26,0.9045524799775188,0.8954475200224813
2018-07-27,0.9084305184768864,0.8915694815231137
2018-07-28,0.9133202191934805,0.8866797808065195
2018-07-29,0.9180413095405369,0.8819586904594632
2018-07-30,0.921582127300829,0.878417872699171
2018-07-31,0.9244485035829705,0.8755514964170296
2018-08-01,0.9263032176478855,0.8736967823521146
2018-08-02,0.9279893213432628,0.8720106786567372
2018-08-03,0.9232682309962064,0.8767317690037937
2018-08-04,0.9205704650836027,0.8794295349163973
2018-08-05,0.9151749332583954,0.8848250667416047
2018-08-06,0.9102852325418014,0.8897147674581987
2018-08-07,0.9042152592384433,0.8957847407615568
2018-08-08,0.898145285935085,0.901854714064915
2018-08-09,0.8919067022621893,0.9080932977378108
2018-08-10,0.8866797808065197,0.9133202191934804
2018-08-11,0.8804411971336238,0.9195588028663763
2018-08-12,0.8740340030911902,0.9259659969088099
2018-08-13,0.8669523675706056,0.9330476324293945
2018-08-14,0.8583532387241816,0.9416467612758185
2018-08-15,0.851946044681748,0.9480539553182521
2018-08-16,0.8450330195307012,0.9549669804692988
2018-08-17,0.8393002669664186,0.9606997330335815
2018-08-18,0.8327244625544472,0.9672755374455528
2018-08-19,0.830363917380919,0.9696360826190811
2018-08-20,0.82732893072924,0.9726710692707601
2018-08-21,0.8237881129689476,0.9762118870310524
2018-08-22,0.8205845159477309,0.9794154840522692
2018-08-23,0.8168750878179009,0.9831249121820992
2018-08-24,0.8146831530139104,0.9853168469860897
2018-08-25,0.813165659688071,0.9868343403119291
2018-08-26,0.8101306730363917,0.9898693269636083
2018-08-27,0.8079387382324015,0.9920612617675986
2018-08-28,0.8057468034284109,0.9942531965715892
2018-08-29,0.802037375298581,0.997962624701419
2018-08-30,0.8006884923422791,0.9993115076577209
2018-08-31,0.7991709990164395,1.0008290009835605
2018-09-01,0.7981593367992132,1.0018406632007868
2018-09-02,0.7969790642124491,1.0030209357875508
2018-09-03,0.7963046227342983,1.0036953772657018
2018-09-04,0.7974848953210624,1.0025151046789378
2018-09-05,0.7966418434733737,1.0033581565266263
2018-09-06,0.7963046227342983,1.0036953772657018
2018-09-07,0.7927638049740059,1.007236195025994
2018-09-08,0.7915835323872419,1.008416467612758
2018-09-09,0.7897288183223269,1.010271181677673
2018-09-10,0.7877054938878743,1.0122945061121258
2018-09-11,0.7839960657580443,1.0160039342419558
2018-09-12,0.7794435857805256,1.0205564142194743
2018-09-13,0.7784319235632993,1.0215680764367008
2018-09-14,0.7752283265420824,1.0247716734579178
2018-09-15,0.7728677813685543,1.0271322186314458
2018-09-16,0.7708444569341015,1.0291555430658985
2018-09-17,0.7684839117605734,1.0315160882394268
2018-09-18,0.7679780806519602,1.0320219193480398
2018-09-19,0.7694955739777998,1.0305044260222003
2018-09-20,0.7703386258254883,1.0296613741745118
2018-09-21,0.772361950259941,1.027638049740059
2018-09-22,0.77539693691162,1.02460306308838
2018-09-23,0.7774202613460728,1.0225797386539273
2018-09-24,0.780961079106365,1.019038920893635
2018-09-25,0.7833216242798933,1.0166783757201068
2018-09-26,0.7850077279752704,1.0149922720247295
2018-09-27,0.7866938316706478,1.0133061683293523
2018-09-28,0.7880427146269496,1.0119572853730505
2018-09-29,0.7880427146269496,1.0119572853730505
2018-09-30,0.789054376844176,1.010945623155824
2018-10-01,0.792089363495855,1.007910636504145
2018-10-02,0.7951243501475341,1.004875649852466
2018-10-03,0.7984965575382886,1.0015034424617113
2018-10-04,0.7998454404945905,1.0001545595054095
2018-10-05,0.8030490375158073,0.9969509624841928
2018-10-06,0.8054095826893355,0.9945904173106646
2018-10-07,0.8076015174933259,0.9923984825066742
2018-10-08,0.8082759589714767,0.9917240410285233
2018-10-09,0.8089504004496277,0.9910495995503723
2018-10-10,0.8091190108191654,0.9908809891808347
2018-10-11,0.8070956863847127,0.9929043136152873
2018-10-12,0.8037234789939582,0.9962765210060418
2018-10-13,0.8000140508641282,0.9999859491358718
2018-10-14,0.7973162849515246,1.0026837150484755
2018-10-15,0.7949557397779964,1.0050442602220038
2018-10-16,0.7925951946044683,1.0074048053955318
2018-10-17,0.7898974286918646,1.0101025713081353
2018-10-18,0.7880427146269496,1.0119572853730505
2018-10-19,0.787199662779261,1.012800337220739
2018-10-20,0.7851763383448083,1.0148236616551918
2018-10-21,0.7838274553885065,1.0161725446114935
2018-10-22,0.783490234649431,1.016509765350569
2018-10-23,0.7821413516931293,1.0178586483068708
2018-10-24,0.7799494168891388,1.0200505831108613
2018-10-25,0.7775888717156106,1.0224111282843895
2018-10-26,0.77539693691162,1.02460306308838
2018-10-27,0.7735422228467052,1.026457777153295
2018-10-28,0.7715188984122524,1.0284811015877475
2018-10-29,0.7700014050864129,1.029998594913587
2018-10-30,0.7674722495433469,1.032527750456653
2018-10-31,0.7654489251088942,1.0345510748911058
2018-11-01,0.7620767177181397,1.0379232822818603
2018-11-02,0.7590417310664606,1.0409582689335395
2018-11-03,0.7561753547843193,1.0438246452156807
2018-11-04,0.7551636925670929,1.0448363074329072
2018-11-05,0.7531403681326403,1.0468596318673598
2018-11-06,0.7511170436981875,1.0488829563018125
2018-11-07,0.7502739918504988,1.0497260081495012
2018-11-08,0.750779822959112,1.049220177040888
2018-11-09,0.7521287059154139,1.0478712940845862
2018-11-10,0.7543206407194043,1.0456793592805957
2018-11-11,0.7573556273710834,1.0426443726289167
2018-11-12,0.7608964451313756,1.0391035548686245
2018-11-13,0.7664605873261208,1.0335394126738793
2018-11-14,0.7705072361950261,1.029492763804974
