alpha_p,alpha_n,initial_alpha
0.9,0.9,0.9
0.9676590631124471,0.832340936887553,0.9
1.0349352064162436,0.7650647935837566,0.9
1.1014476772563035,0.6985523227436965,0.9
1.1668200450195605,0.6331799549804397,0.9
1.2306823315626074,0.5693176684373926,0.9
1.292673105121271,0.5073268948787291,0.9
1.352441525851527,0.447558474148473,0.9
1.409649331424922,0.39035066857507805,0.9
1.4639727514409244,0.3360272485590756,0.9
1.5151043398214945,0.28489566017850565,0.9
1.5627547148173435,0.23724528518265642,0.9
1.6066541967782344,0.19334580322176576,0.9
1.6465543344182776,0.15344566558172235,0.9
1.682229310938254,0.11777068906174604,0.9
1.7134772220469383,0.08652277795306174,0.9
1.7401212186484067,0.05987878135159319,0.9
1.7620105077282289,0.037989492271771286,0.9
1.7790212057739758,0.020978794226024222,0.9
1.7910570399000796,0.008942960099920572,0.9
1.7980498927089807,0.0019501072910194095,0.9
1.7999601878049043,3.9812195095745295e-05,0.9
1.7967771137784254,0.003222886221574517,0.9
1.7885186853941757,0.011481314605824355,0.9
1.7752316416353922,0.024768358364608,0.9
1.756991181182334,0.04300881881766605,0.9
1.7339005368216391,0.0660994631783609,0.9
1.7060903911952696,0.09390960880473054,0.9
1.6737181371956469,0.12628186280435327,0.9
1.6369669871928054,0.16303301280719473,0.9
1.5960449361349371,0.2039550638650629,0.9
1.5511835843907116,0.24881641560928847,0.9
1.5026368269955528,0.29736317300444715,0.9
1.4506794167201504,0.3493205832798496,0.9
1.395605409093585,0.40439459090641516,0.9
1.3377264981815422,0.4622735018184578,0.9
1.2773702525383563,0.5226297474616437,0.9
1.2148782613166018,0.5851217386833982,0.9
1.1506042010264173,0.6493957989735829,0.9
1.084911833885831,0.715088166114169,0.9
1.0181729490905276,0.7818270509094724,0.9
0.9507652586545332,0.8492347413454668,0.9
0.9000000000000001,0.8999999999999999,0.9
0.9000000000000001,0.8999999999999999,0.9
0.9000000000000001,0.8999999999999999,0.9
0.862087767345148,0.937912232654852,0.9
0.7970585328249531,1.002941467175047,0.9
0.7336306195097231,1.066369380490277,0.9
0.6721630008069001,1.1278369991931,0.9
0.6130035557397688,1.1869964442602312,0.9
0.5564871001089461,1.243512899891054,0.9
0.5029334915858252,1.2970665084141748,0.9
0.45264581946228916,1.347354180537711,0.9
0.40590868930189744,1.3940913106981025,0.9
0.362986612200646,1.437013387799354,0.9
0.32412250777335694,1.475877492226643,0.9
0.28953632933812334,1.5104636706618768,0.9
