Day,b_p,b_n
"Day 1, Hour 0",0.0,0.0
"Day 1, Hour 1",0.0375883683958039,-0.0751767367916078
"Day 1, Hour 2",0.0749640035645797,-0.1499280071291594
"Day 1, Hour 3",0.111915376253502,-0.223830752507004
"Day 1, Hour 4",0.1482333583442002,-0.2964667166884004
"Day 1, Hour 5",0.18371240642367076,-0.3674248128473415
"Day 1, Hour 6",0.2181517250673728,-0.4363034501347456
"Day 1, Hour 7",0.25135640325084835,-0.5027128065016967
"Day 1, Hour 8",0.28313851745829,-0.56627703491658
"Day 1, Hour 9",0.313318195244958,-0.626636390489916
"Day 1, Hour 10",0.3417246332341636,-0.6834492664683272
"Day 1, Hour 11",0.3681970637874131,-0.7363941275748263
"Day 1, Hour 12",0.39258566487679686,-0.7851713297535937
"Day 1, Hour 13",0.4147524080101543,-0.8295048160203086
"Day 1, Hour 14",0.4345718394101411,-0.8691436788202822
"Day 1, Hour 15",0.4519317900260768,-0.9038635800521536
"Day 1, Hour 16",0.466734010360226,-0.933468020720452
"Day 1, Hour 17",0.4788947265156826,-0.9577894530313652
"Day 1, Hour 18",0.4883451143188754,-0.9766902286377508
"Day 1, Hour 19",0.4950316888333774,-0.9900633776667548
"Day 1, Hour 20",0.4989166070605447,-0.9978332141210894
"Day 1, Hour 21",0.4999778821138356,-0.9999557642276712
"Day 1, Hour 22",0.4982095076546807,-0.9964190153093614
"Day 1, Hour 23",0.493621491885653,-0.987242983771306
"Day 2, Hour 0",0.486239800908551,-0.972479601817102
"Day 2, Hour 1",0.4761062117679632,-0.9522124235359264
"Day 2, Hour 2",0.4632780760120216,-0.9265561520240432
"Day 2, Hour 3",0.4478279951084829,-0.8956559902169658
"Day 2, Hour 4",0.429843409553137,-0.859686819106274
"Day 2, Hour 5",0.4094261039960029,-0.8188522079920058
"Day 2, Hour 6",0.38669163118607613,-0.7733832623721523
"Day 2, Hour 7",0.3617686579948397,-0.7235373159896794
"Day 2, Hour 8",0.33479823721975155,-0.6695964744395031
"Day 2, Hour 9",0.3059330092889724,-0.6118660185779448
"Day 2, Hour 10",0.27533633838532484,-0.5506726767706497
"Day 2, Hour 11",0.2431813878786345,-0.486362775757269
"Day 2, Hour 12",0.20965014029908674,-0.4193002805981735
"Day 2, Hour 13",0.174932367398112,-0.349864734796224
"Day 2, Hour 14",0.1392245561257872,-0.2784491122515744
"Day 2, Hour 15",0.10272879660323934,-0.2054575932064787
"Day 2, Hour 16",0.0656516383836264,-0.1313032767672528
"Day 2, Hour 17",0.0282029214747406,-0.0564058429494812
"Day 2, Hour 18",0.0,0.0
"Day 2, Hour 19",0.0,0.0
"Day 2, Hour 20",0.0,0.0
"Day 2, Hour 21",-0.02106235147491785,0.0421247029498357
"Day 2, Hour 22",-0.05718970398613725,0.1143794079722745
"Day 2, Hour 23",-0.09242743360570944,0.1848548672114189
"Day 3, Hour 0",-0.12657611066283336,0.2531522213256667
"Day 3, Hour 1",-0.15944246903346185,0.3188849380669237
