Day,b_p,b_n
"Day 3, Hour 2",-0.19084049993947444,0.3816809998789489
"Day 3, Hour 3",-0.22059250467454156,0.4411850093490831
"Day 3, Hour 4",-0.2485301002987283,0.4970602005974566
"Day 3, Hour 5",-0.274495172610057,0.548990345220114
"Day 3, Hour 6",-0.2983407709996412,0.5966815419992824
"Day 3, Hour 7",-0.31993194012591286,0.6398638802518257
"Day 3, Hour 8",-0.3391464837010426,0.6782929674020852
"Day 3, Hour 9",-0.35587565606686344,0.7117513121337269
"Day 3, Hour 10",-0.3700247776462942,0.7400495552925884
"Day 3, Hour 11",-0.38151377078708043,0.7630275415741609
"Day 3, Hour 12",-0.3902776129652221,0.7805552259304442
"Day 3, Hour 13",-0.3962667047831584,0.7925334095663168
"Day 3, Hour 14",-0.39944715068000775,0.7988943013600155
"Day 3, Hour 15",-0.3998009507651683,0.7996019015303366
"Day 3, Hour 16",-0.39732610268958773,0.7946522053791755
"Day 3, Hour 17",-0.3920366129781564,0.7840732259563128
"Day 3, Hour 18",-0.383962417759088,0.767924835518176
"Day 3, Hour 19",-0.37314921333892404,0.7462984266778481
"Day 3, Hour 20",-0.35965819758203044,0.7193163951640609
"Day 3, Hour 21",-0.3435657235582618,0.6871314471165236
"Day 3, Hour 22",-0.32496286741899305,0.6499257348379861
"Day 3, Hour 23",-0.30395491294714244,0.6079098258942849
"Day 4, Hour 0",-0.2806607556984047,0.5613215113968094
"Day 4, Hour 1",-0.25521223010598065,0.5104244602119613
"Day 4, Hour 2",-0.22775336335709495,0.4555067267141899
"Day 4, Hour 3",-0.19843956026401574,0.3968791205280315
"Day 4, Hour 4",-0.16743672374284685,0.3348734474856937
"Day 4, Hour 5",-0.1349203158777829,0.2698406317555658
"Day 4, Hour 6",-0.1010743648847771,0.2021487297695542
"Day 4, Hour 7",-0.066090423594769,0.132180847189538
"Day 4, Hour 8",-0.0301664853509759,0.0603329707019518
"Day 4, Hour 9",0.0,0.0
"Day 4, Hour 10",0.0,0.0
"Day 4, Hour 11",0.0,0.0
"Day 4, Hour 12",0.01880749415031975,-0.0376149883006395
"Day 4, Hour 13",0.0563160405091133,-0.1126320810182266
"Day 4, Hour 14",0.09350586345579115,-0.1870117269115823
"Day 4, Hour 15",0.13016648535097486,-0.2603329707019497
"Day 4, Hour 16",0.1660904235947683,-0.3321808471895366
"Day 4, Hour 17",0.2010743648847765,-0.402148729769553
"Day 4, Hour 18",0.23492031587778225,-0.4698406317555645
"Day 4, Hour 19",0.26743672374284627,-0.5348734474856925
"Day 4, Hour 20",0.2984395602640148,-0.5968791205280296
"Day 4, Hour 21",0.3277533633570944,-0.6555067267141887
"Day 4, Hour 22",0.35521223010598013,-0.7104244602119603
"Day 4, Hour 23",0.38066075569840424,-0.7613215113968085
"Day 5, Hour 0",0.40395491294714203,-0.8079098258942841
"Day 5, Hour 1",0.4249628674189925,-0.849925734837985
"Day 5, Hour 2",0.4435657235582615,-0.887131447116523
"Day 5, Hour 3",0.4596581975820302,-0.9193163951640604
"Day 5, Hour 4",0.4731492133389238,-0.9462984266778476
"Day 5, Hour 5",0.4839624177590878,-0.9679248355181757
"Day 5, Hour 6",0.4920366129781562,-0.9840732259563124
"Day 5, Hour 7",0.4973261026895876,-0.9946522053791752
"Day 5, Hour 8",0.4998009507651684,-0.9996019015303368
"Day 5, Hour 9",0.4994471506800077,-0.9988943013600154
"Day 5, Hour 10",0.4962667047831586,-0.9925334095663172
"Day 5, Hour 11",0.4902776129652224,-0.9805552259304448
"Day 5, Hour 12",0.4815137707870808,-0.9630275415741616
"Day 5, Hour 13",0.4700247776462943,-0.9400495552925886
"Day 5, Hour 14",0.4558756560668638,-0.9117513121337276
"Day 5, Hour 15",0.4391464837010429,-0.8782929674020858
"Day 5, Hour 16",0.41993194012591323,-0.8398638802518265
"Day 5, Hour 17",0.3983407709996418,-0.7966815419992836
"Day 5, Hour 18",0.3744951726100576,-0.7489903452201152
"Day 5, Hour 19",0.3485301002987288,-0.6970602005974575
"Day 5, Hour 20",0.32059250467454187,-0.6411850093490837
"Day 5, Hour 21",0.2908404999394752,-0.5816809998789504
"Day 5, Hour 22",0.25944246903346246,-0.5188849380669249
"Day 5, Hour 23",0.22657611066283376,-0.4531522213256675
"Day 6, Hour 0",0.19242743360571055,-0.3848548672114211
"Day 6, Hour 1",0.15718970398613816,-0.3143794079722763
"Day 6, Hour 2",0.1210623514749183,-0.2421247029498366
"Day 6, Hour 3",0.08424984060753725,-0.1684996812150745
"Day 6, Hour 4",0.04696051360702785,-0.0939210272140557
"Day 6, Hour 5",0.009405411260876247,-0.018810822521752493
"Day 6, Hour 6",-3.469446951953614e-18,6.938893903907228e-18
"Day 6, Hour 7",-3.469446951953614e-18,6.938893903907228e-18
"Day 6, Hour 8",-0.0027287966032387033,0.0054575932064774065
"Day 6, Hour 9",-0.0392245561257867,0.0784491122515734
"Day 6, Hour 10",-0.0749323673981109,0.1498647347962218
"Day 6, Hour 11",-0.1096501402990859,0.2193002805981718
"Day 6, Hour 12",-0.14318138787863385,0.2863627757572677
"Day 6, Hour 13",-0.17533633838532464,0.3506726767706493
"Day 6, Hour 14",-0.2059330092889716,0.4118660185779432
"Day 6, Hour 15",-0.234798237219751,0.469596474439502
"Day 6, Hour 16",-0.2617686579948394,0.5235373159896788
"Day 6, Hour 17",-0.28669163118607544,0.5733832623721509
"Day 6, Hour 18",-0.3094261039960025,0.618852207992005
"Day 6, Hour 19",-0.3298434095531368,0.6596868191062736
"Day 6, Hour 20",-0.34782799510848245,0.6956559902169649
"Day 6, Hour 21",-0.3632780760120212,0.7265561520240424
"Day 6, Hour 22",-0.376106211767963,0.752212423535926
"Day 6, Hour 23",-0.38623980090855103,0.7724796018171021
"Day 7, Hour 0",-0.39362149188565293,0.7872429837713059
"Day 7, Hour 1",-0.3982095076546806,0.7964190153093612
"Day 7, Hour 2",-0.3999778821138356,0.7999557642276712
"Day 7, Hour 3",-0.3989166070605448,0.7978332141210897
"Day 7, Hour 4",-0.3950316888333775,0.790063377666755
"Day 7, Hour 5",-0.3883451143188754,0.7766902286377508
"Day 7, Hour 6",-0.378894726515683,0.757789453031366
"Day 7, Hour 7",-0.3667340103602264,0.7334680207204528
"Day 7, Hour 8",-0.3519317900260771,0.7038635800521542
"Day 7, Hour 9",-0.3345718394101413,0.6691436788202826
"Day 7, Hour 10",-0.31475240801015486,0.6295048160203097
"Day 7, Hour 11",-0.2925856648767973,0.5851713297535946
"Day 7, Hour 12",-0.2681970637874135,0.536394127574827
"Day 7, Hour 13",-0.2417246332341644,0.4834492664683288
"Day 7, Hour 14",-0.21331819524495876,0.4266363904899175
"Day 7, Hour 15",-0.1831385174582905,0.366277034916581
"Day 7, Hour 16",-0.1513564032508494,0.3027128065016988
"Day 7, Hour 17",-0.11815172506737355,0.2363034501347471
"Day 7, Hour 18",-0.08371240642367135,0.1674248128473427
"Day 7, Hour 19",-0.04823335834420055,0.0964667166884011
"Day 7, Hour 20",-0.011915376253502946,0.023830752507005892
"Day 7, Hour 21",3.469446951953614e-18,-6.938893903907228e-18
"Day 7, Hour 22",3.469446951953614e-18,-6.938893903907228e-18
"Day 7, Hour 23",3.469446951953614e-18,-6.938893903907228e-18
